date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
01-11-2015 00:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,15,25,25,22,16,9,64,0,1012,22,10,79,8,pune
01-11-2015 01:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,15,22,25,22,15,9,66,0,1012,22,10,83,7,pune
01-11-2015 02:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,15,22,24,22,14,9,68,0,1012,22,10,88,7,pune
01-11-2015 03:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,16,21,24,21,13,8,70,0,1012,21,10,93,6,pune
01-11-2015 04:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,15,21,24,21,17,8,67,0,1012,21,10,93,8,pune
01-11-2015 05:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,16,25,25,23,17,9,64,0,1013,23,10,94,10,pune
01-11-2015 06:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,17,25,25,23,14,9,61,0,1013,23,10,94,11,pune
01-11-2015 07:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,17,25,25,24,18,11,56,0,1013,24,10,97,12,pune
01-11-2015 08:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,17,27,27,26,20,13,51,0,1013,26,10,99,12,pune
01-11-2015 09:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,17,29,29,28,22,15,45,0,1013,28,10,102,13,pune
01-11-2015 10:00,31,21,0,11.7,7,59,10:43 PM,11:06 AM,6:34 AM,6:02 PM,16,30,30,30,24,14,43,0,1012,30,10,99,12,pune
